Date,Open,High,Low,Close,Adj Close,Volume
2018-06-25,628.575012,639.400024,627.000000,636.224976,620.604431,7731178
2018-06-26,634.500000,641.950012,633.125000,638.924988,623.238220,4483504
2018-06-27,641.974976,646.724976,632.799988,635.000000,619.409546,6952142
2018-06-28,638.150024,649.000000,638.125000,644.799988,628.968933,10996818
2018-06-29,649.025024,657.500000,641.625000,653.599976,637.552856,9966600
2018-07-02,657.000000,670.000000,657.000000,667.349976,650.965271,4830144
2018-07-03,665.950012,678.950012,665.875000,676.875000,660.256470,8127452
2018-07-04,676.025024,676.325012,669.424988,672.599976,656.086365,5025722
2018-07-05,673.549988,673.625000,634.049988,642.000000,626.237671,17019902
2018-07-06,645.125000,650.924988,634.500000,642.125000,626.359619,11215356
2018-07-09,648.500000,651.500000,639.525024,649.424988,633.480347,6644998
2018-07-10,654.250000,657.724976,647.150024,650.700012,634.724060,5974488
2018-07-11,658.775024,671.049988,645.674988,660.224976,644.015198,11899832
2018-07-12,663.049988,663.549988,642.224976,647.174988,631.285645,13272240
2018-07-13,657.500000,665.799988,649.174988,658.700012,642.527649,19496158
2018-07-16,658.700012,692.200012,643.849976,666.424988,650.062988,35344680
2018-07-17,664.849976,674.750000,656.349976,663.950012,647.648804,11161690
2018-07-18,669.900024,671.700012,657.000000,661.275024,645.039490,6919016
2018-07-19,661.500000,665.950012,654.549988,658.349976,642.186218,5118864
2018-07-20,663.000000,683.575012,660.650024,674.049988,657.500793,11705738
2018-07-23,676.075012,684.000000,668.125000,677.974976,661.329407,7675702
2018-07-24,687.200012,691.200012,678.000000,688.575012,671.669189,6172246
2018-07-25,689.500000,696.900024,682.724976,691.875000,674.888123,6936922
2018-07-26,689.275024,695.200012,684.599976,686.625000,669.767090,7362218
2018-07-27,686.599976,694.500000,684.150024,686.724976,669.864563,6493232
2018-07-30,685.000000,686.500000,674.000000,675.500000,658.915161,6409970
2018-07-31,674.275024,685.000000,667.775024,682.549988,665.792114,7943996
2018-08-01,681.900024,684.224976,675.500000,677.025024,660.402771,4675706
2018-08-02,679.799988,683.375000,675.075012,676.825012,660.207642,5940742
2018-08-03,683.099976,683.099976,678.000000,682.049988,665.304382,3970390
2018-08-06,683.025024,687.500000,673.750000,680.325012,663.621765,6178930
2018-08-07,687.000000,689.974976,680.325012,683.974976,667.182068,7351528
2018-08-08,685.900024,686.250000,676.650024,681.375000,664.645935,3992358
2018-08-09,686.825012,694.724976,686.825012,689.974976,673.034729,6409524
2018-08-10,692.900024,694.500000,686.525024,692.724976,675.717285,4779520
2018-08-13,695.000000,704.924988,689.349976,704.375000,687.081238,9979746
2018-08-14,706.974976,712.275024,702.000000,704.150024,686.861816,6151320
2018-08-16,707.474976,717.450012,705.625000,714.775024,697.225952,6626774
2018-08-17,715.450012,718.825012,711.500000,715.174988,697.616089,6390408
2018-08-20,694.000000,703.974976,686.750000,692.125000,675.132019,16101876
2018-08-21,695.000000,698.000000,686.875000,691.974976,674.985657,8361482
2018-08-23,696.500000,700.750000,692.674988,698.700012,681.545593,7717182
2018-08-24,698.250000,700.950012,688.049988,689.150024,672.230103,7053000
2018-08-27,691.500000,709.974976,690.700012,707.700012,690.324646,7012950
2018-08-28,708.599976,719.200012,705.750000,712.349976,694.860413,6496890
2018-08-29,716.799988,716.799988,702.575012,705.049988,687.739685,5646496
2018-08-30,706.400024,710.775024,698.075012,708.099976,690.714722,11507962
2018-08-31,712.549988,727.150024,710.549988,720.549988,702.859131,10875864
2018-09-03,724.500000,733.950012,715.000000,717.125000,699.518250,10976328
2018-09-04,722.000000,748.500000,716.000000,737.150024,719.051575,15370124
2018-09-05,741.950012,744.049988,725.400024,729.900024,711.979614,8658978
2018-09-06,732.549988,735.500000,724.099976,727.150024,709.297119,5598659
2018-09-07,734.349976,735.150024,723.799988,732.799988,714.808350,6510605
2018-09-10,737.750000,747.000000,729.400024,730.849976,712.906189,5629871
2018-09-11,735.900024,744.750000,732.000000,734.299988,716.271545,6963561
2018-09-12,744.400024,746.500000,736.250000,742.900024,724.660400,4636617
2018-09-14,741.900024,745.000000,729.049988,733.700012,715.686279,7896514
2018-09-17,735.000000,740.000000,724.599976,725.950012,708.126587,5427054
