Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,1149.699951,1171.000000,1147.800049,1152.300049,1140.764404,1137183
2018-09-18,1156.000000,1160.699951,1137.500000,1147.449951,1135.962891,855169
2018-09-19,1152.400024,1154.900024,1105.050049,1120.349976,1109.134155,880114
2018-09-21,1123.000000,1128.400024,1040.500000,1086.199951,1075.326050,1606638
2018-09-24,1080.000000,1110.800049,1067.050049,1072.900024,1062.159302,980604
2018-09-25,1075.000000,1096.400024,1055.000000,1086.849976,1075.969604,794183
2018-09-26,1090.050049,1095.000000,1040.550049,1073.599976,1062.852173,998236
2018-09-27,1075.000000,1077.500000,1047.250000,1052.349976,1041.815063,715041
2018-09-28,1055.000000,1058.650024,1011.000000,1033.250000,1022.906067,1373849
2018-10-01,1025.099976,1092.550049,1016.000000,1071.800049,1061.070313,1384039
2018-10-03,1089.400024,1099.000000,1060.000000,1073.349976,1062.604614,1314309
2018-10-04,1064.800049,1083.849976,1048.800049,1063.349976,1052.704834,716518
2018-10-05,1054.150024,1076.000000,1033.300049,1040.650024,1030.232178,715895
2018-10-08,1032.000000,1049.650024,974.150024,998.349976,988.355469,1138316
2018-10-09,997.000000,1027.000000,979.400024,1009.700012,999.591980,1024000
2018-10-10,996.000000,1029.099976,985.000000,1005.049988,994.988464,771715
2018-10-11,935.049988,1011.700012,935.049988,980.549988,970.733704,1112338
2018-10-12,985.000000,1000.000000,941.200012,953.250000,943.707031,1323286
2018-10-15,962.950012,989.799988,956.000000,980.700012,970.882202,907803
2018-10-16,986.000000,1001.849976,973.599976,984.799988,974.941223,919589
2018-10-17,999.950012,999.950012,952.250000,977.950012,968.159790,1512677
2018-10-19,925.000000,927.799988,801.099976,813.900024,805.752075,8893142
2018-10-22,819.250000,827.200012,780.000000,802.599976,794.565186,5198199
2018-10-23,810.000000,820.000000,795.650024,809.400024,801.297119,2052512
2018-10-24,815.000000,823.799988,787.150024,805.500000,797.436157,2223910
2018-10-25,782.000000,797.900024,766.000000,779.700012,774.780029,1910519
2018-10-26,787.950012,787.950012,752.150024,770.950012,766.085205,1332529
2018-10-29,780.000000,785.450012,760.099976,777.700012,772.792664,1245731
2018-10-30,778.000000,792.250000,768.049988,786.150024,781.189331,2220031
2018-10-31,794.000000,859.900024,793.000000,850.849976,845.481079,2718167
2018-11-01,861.000000,861.000000,821.150024,827.099976,821.880920,1200947
2018-11-02,838.000000,844.799988,800.099976,803.950012,798.877014,1562276
2018-11-05,790.700012,825.500000,787.099976,821.849976,816.664001,1363257
2018-11-06,824.950012,841.400024,819.500000,834.599976,829.333618,1291465
2018-11-07,839.000000,840.700012,830.000000,836.599976,831.320984,98291
2018-11-09,830.000000,867.000000,830.000000,854.299988,848.909302,1432318
2018-11-12,859.000000,869.799988,846.099976,863.400024,857.951904,993623
2018-11-13,861.500000,868.000000,837.000000,843.750000,838.425903,651416
2018-11-14,844.950012,851.599976,831.900024,846.750000,841.406921,800201
2018-11-15,835.049988,851.450012,832.599976,840.400024,835.096985,635572
2018-11-16,840.000000,854.500000,831.000000,837.400024,832.115906,960984
2018-11-19,846.000000,853.000000,839.150024,848.700012,843.344604,610680
2018-11-20,848.700012,854.200012,835.000000,836.500000,831.221619,1043524
2018-11-21,838.000000,838.049988,805.099976,830.400024,825.160156,1895611
2018-11-22,830.400024,854.700012,823.000000,828.849976,823.619873,1466895
2018-11-26,830.000000,843.000000,819.000000,837.099976,831.817810,933348
2018-11-27,842.000000,848.000000,820.000000,824.099976,818.899841,1220238
2018-11-28,827.000000,881.099976,822.349976,874.750000,869.230225,2305804
2018-11-29,876.000000,877.950012,845.200012,850.099976,844.735779,2045062
2018-11-30,855.000000,884.000000,848.000000,876.650024,871.118286,1519665
2018-12-03,883.900024,897.549988,865.000000,893.450012,887.812256,1287294
2018-12-04,894.500000,899.799988,880.849976,885.349976,879.763367,1157865
2018-12-05,882.000000,883.900024,864.599976,871.150024,865.652954,701305
